Name,Location,Haz Click Aquí,Tipo,geometry
Cárcel de Carabanchel,"<Point><coordinates>-3.754023,40.38139,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/05/carcel-de-carabanchel-madrid.html,,
Carranque,"<Point><coordinates>-3.897615,40.168522,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/05/carranque-toledo.html,,
Corme Porto,"<Point><coordinates>-8.956935,43.265845,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/05/corme-porto-coruna.html,,
Ibi,"<Point><coordinates>-0.586172,38.616876,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/05/ibi-alicante.html,,
Lalín,"<Point><coordinates>-8.107926,42.659431,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/05/lalin-pontevedra.html,,
Las Caletas,"<Point><coordinates>-13.508641,28.991424,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/05/las-caletas-las-palmas.html,,
Medina Elvira,"<Point><coordinates>-3.687733,37.273924,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/05/medina-elvira-granada.html,,
Ontígola,"<Point><coordinates>-3.573433,40.00867,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/05/ontigola-toledo.html,,
Pozo Izquierdo,"<Point><coordinates>-15.424309,27.829142,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/05/pozo-izquierdo-las-palmas.html,,
Remondo,"<Point><coordinates>-4.478586,41.340478,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/05/remondo-segovia.html,,
Salvatierra de Miño,"<Point><coordinates>-8.448975,42.100188,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/05/salvatierra-de-mino-pontevedra.html,,
Segorbe,"<Point><coordinates>-0.485203,39.847042,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/05/segorbe-castellon.html,,
Teruel (sur),"<Point><coordinates>-1.098516,40.331233,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/05/teruel-sur.html,,
Utrera (Norte),"<Point><coordinates>-5.76965,37.194935,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/05/utrera-norte-sevilla.html,,
Utrera (sur),"<Point><coordinates>-5.778875,37.176805,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/05/utrera-sur-sevilla.html,,
Villamantilla,"<Point><coordinates>-4.127675,40.342737,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/05/villamantilla-madrid.html,,
Zuera,"<Point><coordinates>-0.783819,41.866881,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/05/zuera-zaragoza.html,,
Cala Tarida,"<Point><coordinates>1.239492,38.938694,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/cala-tarida-ibiza-illes-balears.html,,
Carril,"<Point><coordinates>-8.772257,42.616506,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/carril-pontevedra.html,,
Comillas,"<Point><coordinates>-4.282735,43.383813,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/comillas-cantabria.html,,
Corella,"<Point><coordinates>-1.78589,42.113236,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/corella-navarra.html,,
Cuarte,"<Point><coordinates>-0.450862,42.107484,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/cuarte-huesca.html,,
Horche,"<Point><coordinates>-3.068498,40.57109,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/horta-guadalajara_20.html,,
Isla Plana,"<Point><coordinates>-1.213747,37.57767,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/isla-plana-murcia.html,,
La Poveda,"<Point><coordinates>-3.475325,40.300995,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/la-poveda-madrid.html,,
Lliria (Norte),"<Point><coordinates>-0.630885,39.65053,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/lliria-norte-valencia.html,,
Muelle Prat,"<Point><coordinates>2.140792,41.312234,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/muelle-prat-barcelona.html,,
Oion,"<Point><coordinates>-2.436469,42.500325,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/oion-oyon-alava-araba.html,,
Palacio de la Zarzuela,"<Point><coordinates>-3.799839,40.482919,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/palacio-de-la-zarzuela-madrid.html,,
Real Federación Española de Fútbol,"<Point><coordinates>-3.89672,40.52309,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/real-federacion-espanola-de-futbol-las.html,,
rotura del muelle del Prat,"<Point><coordinates>2.153435,41.313778,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/rotura-del-muelle-prat-barcelona.html,,
Salcedo,"<Point><coordinates>-6.983265,43.532459,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/salcedo-asturias.html,,
Sant Guim de Freixenet,"<Point><coordinates>1.422537,41.649097,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/sant-guim-de-freixenet-lleida.html,,
Serres,"<Point><coordinates>-9.072219,42.784366,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/serres-coruna.html,,
Sils,"<Point><coordinates>2.739299,41.815171,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/sils-girona.html,,
Sotolargo,"<Point><coordinates>-3.290816,40.64449,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/sotolargo-guadalajara.html,,
Té,"<Point><coordinates>-8.806738,42.671873,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/te-coruna.html,,
Torrelavega,"<Point><coordinates>-4.044709,43.335523,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/torrelavega-sur-cantabria.html,,
Trasvase del Ebro (Xerta),"<Point><coordinates>0.466096,40.917092,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/trasvase-del-ebro-xerta-tarragona.html,,
Valdeluz,"<Point><coordinates>-3.102875,40.592632,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/valdeluz-guadalajara.html,,
Vitigudino,"<Point><coordinates>-6.433228,41.008767,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/06/vitigudino-salamanca.html,,
Abama,"<Point><coordinates>-16.792325,28.171002,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/07/abama-tenerife-santa-cruz-de-tenerife.html,,
Aguadulce,"<Point><coordinates>-4.992902,37.252998,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/07/aguadulce-sevilla.html,,
Almaraz,"<Point><coordinates>-5.669893,39.82017,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/07/almaraz-caceres.html,,
Belako,"<Point><coordinates>-2.818144,43.347254,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/07/belako-bizkaia.html,,
Benicassim (norte),"<Point><coordinates>0.105989,40.059932,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/07/benicassim-norte-castellon.html,,
Borox,"<Point><coordinates>-3.741864,40.073097,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/07/borox-toledo.html,,
Cabra,"<Point><coordinates>-4.446457,37.474773,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/07/cabra-cordoba.html,,
Ciudad Deportiva del Real Madrid,"<Point><coordinates>-3.687254,40.477869,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/07/ciudad-deportiva-del-real-madrid-madrid.html,,
El Rompido,"<Point><coordinates>-7.116169,37.219941,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/07/el-rompido-huelva.html,,
Hernán-Valle,"<Point><coordinates>-3.087884,37.336418,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/07/hernan-valle-jaen.html,,
Jódar,"<Point><coordinates>-3.34461,37.836378,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/07/jodar-jaen.html,,
La Alfoquía,"<Point><coordinates>-2.037873,37.35829,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/07/la-alfoquia-almeria.html,,
Mar de Pulpí,"<Point><coordinates>-1.684758,37.346265,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/07/mar-de-pulpi-almeria.html,,
Mérida (Norte),"<Point><coordinates>-6.343012,38.936598,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/07/merida-norte-badajoz.html,,
Pueblo Latino,"<Point><coordinates>-0.758171,37.874161,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/07/pueblo-latino-alicante.html,,
Rota,"<Point><coordinates>-6.370001,36.630957,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/07/rota-cadiz.html,,
San Francisco de Paula,"<Point><coordinates>-15.444366,28.058108,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/07/san-francisco-de-paula-gran-canaria-las.html,,
Taliarte,"<Point><coordinates>-15.374124,27.991092,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/07/taliarte-gran-canaria-las-palmas.html,,
Torrox,"<Point><coordinates>-3.94485,36.756024,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/07/torrox-malaga.html,,
Albacete (sur),"<Point><coordinates>-1.848743,38.978464,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/08/albacete-sur-albacete.html,,
Concud,"<Point><coordinates>-1.157755,40.369947,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/08/concud-teruel.html,,
El Cotillo,"<Point><coordinates>-14.006671,28.704189,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/08/el-cotillo-fuerteventura-las-palmas.html,,
Fórum Barcelona,"<Point><coordinates>2.225811,41.41157,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/08/forum-barcelona-barcelona.html,,
Oliva Nova,"<Point><coordinates>-0.0536,38.893502,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/08/oliva-nova-valencia.html,,
Ólvega,"<Point><coordinates>-1.9799,41.780088,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/08/olvega-soria.html,,
Parque Warner,"<Point><coordinates>-3.589691,40.232304,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/08/parque-warner-san-martin-de-la-vega.html,,
Pla del Mar,"<Point><coordinates>0.058096,38.649676,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/08/pla-del-mar-alicante.html,,
Requena,"<Point><coordinates>-1.099087,39.4955,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/08/requena-valencia.html,,
Soneja,"<Point><coordinates>-0.427347,39.815585,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/08/soneja-castellon.html,,
Toledo (noroeste),"<Point><coordinates>-4.053108,39.895333,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/08/toledo-noroeste-toledo.html,,
Venta de Baños II,"<Point><coordinates>-4.478212,41.935514,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/08/venta-de-banos-ii-palencia.html,,
Villanueva de la Torre,"<Point><coordinates>-3.297908,40.584969,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/08/villanueva-de-la-torre-guadalajara.html,,
A Barxa,"<Point><coordinates>-8.78571,42.136599,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/a-barxa-pontevedra.html,,
Abolleque,"<Point><coordinates>-3.206158,40.571422,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/abolleque-chiloeches-guadalajara.html,,
A Ramallosa,"<Point><coordinates>-8.545918,42.793908,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/a-ramallosa-coruna.html,,
Bakio,"<Point><coordinates>-2.809625,43.420285,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/bakio-bizkaia.html,,
Celanova,"<Point><coordinates>-7.943049,42.146953,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/celanova-ourense.html,,
Centro Penitenciario Nanclares de Oca,"<Point><coordinates>-2.785144,42.801027,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/centro-penitenciario-nanclares-de-oca.html,,
Cerceda,"<Point><coordinates>-3.930227,40.6989,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/cerceda-madrid.html,,
Corte Inglés de El Ejido,"<Point><coordinates>-2.804471,36.772866,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/corte-ingles-el-ejido-almeria.html,,
Donostia (sur),"<Point><coordinates>-2.000528,43.293309,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/donostia-suroeste-gipuzkoa.html,,
El Bruc,"<Point><coordinates>1.787102,41.572325,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/el-bruc-barcelona.html,,
El Ejido (sur),"<Point><coordinates>-2.809172,36.765915,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/el-ejido-sur-almeria.html,,
Fines,"<Point><coordinates>-2.238936,37.366074,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/fines-almeria.html,,
Guadalajara (norte),"<Point><coordinates>-3.154546,40.645042,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/guadalajara-norte-guadalajara.html,,
La Huelga,"<Point><coordinates>-4.48901,37.958129,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/la-huelga-cordoba.html,,
Linares II,"<Point><coordinates>-3.653014,38.090089,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/linares-ii-jaen.html,,
Los Gallardos,"<Point><coordinates>-1.929923,37.159929,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/los-gallardos-almeria.html,,
Mazarrón Country Club,"<Point><coordinates>-1.32808,37.637052,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/mazarron-country-club-murcia.html,,
Milagro,"<Point><coordinates>-1.773705,42.243192,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/milagro-navarra.html,,
Rego da Parede,"<Point><coordinates>-7.650653,43.497554,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/rego-da-parede-lugo.html,,
Residencial Somosaguas,"<Point><coordinates>-3.794228,40.431238,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/09/residencial-somosaguas-pozuelo-de.html,,
Alcal  de Guadaira (suroeste),"<Point><coordinates>-5.851748,37.320573,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/alcala-de-guadaira-suroeste-sevilla.html,,
Aoiz,"<Point><coordinates>-1.370978,42.786075,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/aoiz-navarra.html,,
Banyeres del Penedés,"<Point><coordinates>1.580811,41.279453,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/banyeres-del-penedes-tarragona.html,,
Calahorra,"<Point><coordinates>-1.930545,42.279912,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/calahorra-la-rioja.html,,
Campo de Golf Melilla,"<Point><coordinates>-2.961497,35.289473,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/campo-de-golf-melilla.html,,
Canalbión,"<Point><coordinates>-14.276277,28.102298,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/canalbion-fuerteventura-las-palmas.html,,
Cerros del Águila,"<Point><coordinates>-4.656539,36.526646,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/cerros-del-aguila-malaga.html,,
Cumbre del Sol,"<Point><coordinates>0.170815,38.708821,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/cumbre-del-sol-alicante.html,,
Desaladora de Torrevieja,"<Point><coordinates>-0.706378,37.964177,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/desaladora-de-torrevieva-alicante.html,,
El Puerto de Santa María,"<Point><coordinates>-6.187123,36.611727,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/el-puerto-de-santa-maria-cadiz.html,,
El Rocío,"<Point><coordinates>-6.468935,37.143593,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/el-rocio-huelva.html,,
Golf Club Fuerteventura,"<Point><coordinates>-13.865499,28.385007,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/golf-club-fuerteventura-fuerteventura.html,,
Guadalajara (oeste),"<Point><coordinates>-3.184314,40.644755,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/guadalajara-oeste-guadalajara.html,,
Guissona,"<Point><coordinates>1.291469,41.785998,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/guissona-lleida.html,,
La Muela III,"<Point><coordinates>-1.080115,41.608806,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/la-muela-iii-zaragoza.html,,
Las Rozas (este),"<Point><coordinates>-3.862234,40.499876,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/las-rozas-este-madrid.html,,
Librilla,"<Point><coordinates>-1.317202,37.912889,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/librilla-murcia.html,,
Llança,"<Point><coordinates>3.15213,42.359108,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/llanca-girona.html,,
Montgat,"<Point><coordinates>2.289172,41.472491,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/montgat-barcelona.html,,
PLAZA Zaragoza,"<Point><coordinates>-1.001517,41.645149,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/plaza-zaragoza-zaragoza.html,,
Puerto de Ceuta,"<Point><coordinates>-5.327243,35.894528,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/puerto-de-ceuta-ceuta.html,,
Santa Susanna,"<Point><coordinates>2.710312,41.639985,0.0</coordinates></Point>",http://www.nacionrotonda.com/2014/10/santa-susanna-barcelona.html,,
